Text,True_Label,Ensemble_Prediction
حالما درهجر مهدی کمتر از یعقوب نیست او پسر گم کرده بود وما پدر گم کردهایم _الفرج,1,0
ذات پلید ها در مسئله هویدا شد قلمت بشکند تاریخ اگر که ننویسی,1,0
واقعا اگه ملت انقدر نادون شدن اکانتهای قدیمی توییتر رو میخرن برم بفروشم بزنم به زخمای زندگی,1,0
بر اساس امار بانک جهانی کشور ایران از نظر تولید داخلی در رتبه ۵۱ ام قرار گرفته است یعنی در رده کشورهای با سرانه بسیار پایین قرار گرفته است پ ن ۴ دهه جنایت مرگ بر این ولایت,1,0
راننده اسنپ در ادامه خطاب به من افزود خانومي ميخواي وصل شي به ضبط مرتيكه ي جنده خانومي هفت جدته پدرسگ,1,0
خبر خوب برا عاشقاپاییز داره میاد خبر بد برا ما سینگلاپاییز داره میاد,1,0
۵۰۰ کالری صبونه خوردم بعد کل کالری ای که تا شب اجازه دارم بخورم ۱۰۰۰ تا ۱۲۰۰ تاس,1,0
قطعا دفعه ي بعدي وجود نداره رعنا جون خوب از اين اگاه باش كه باز خر حرف نشي,1,0
یکی از مسخره بازیای تو چشم بودن اینه که یک فامیل چند صد نفره منتظرن ببینن به کی بله میدی,1,0
ما در دلتنگی دسـتی نداشتیم و در فاصلهای که داشتیم هزار دست داشتیم,1,0
مشکل اصلی ملت با ولی فقیه این نیست که دیکتاتوره مسئله اینه هر جا که به نفعش باشه نایب امامه و باید عین شرع رو انجام بده و هر جا به ضررش باشه سلطانه و مصلحت نیست براساس سیره و گفتار انبیا و اولیا به کمک مظلوم بشتابه البته که در این دوگانگی تنها معدود چاکران بارگاه نفع میبرند,1,1
نشست بررسی انتقال آب کارون به کرمان با تجمع ۸ تن از نماینده های خوزستان در محل جلسه برهم خورد برخی از شخصیت های سیاسی نظامی و مذهبی استان اصفهان در پیگیری پروژه های انتقال آب کارون نفوذ دارند واقعا اینا خوزستان یه گاو شیرده میبنن که حیات و معاش مردم خوزستان براشون مهم نیست,1,0
کاش حداقل نمیدونستیم جاهای دیگه اینقدر بارون اومده که قدم زدن و زیر بارون خیس شدن فقط برای ما هنوز قفله,1,0
طرف گفت یور روم نامب من گفتم فون نامبرررر و شروع کردم شماره دادن خوبه طرف پسر نبود چی اینجا پسر بودن مهم نیست خب پس خدا رو شکر طرف استریت بود,1,0
دخترا وقتی ازدواج می کنن یه دغدغه به دغدغه هاشون اضافه می شه حالا شوهرم چی بپوشه,0,0
من بعد تو و بدون تو نمیمیرم فقط اگه اصرار داشتم بمونی برای این بود توی خوشیا کنارم باشی ببینی چقدر میتونم همه چی رو برای هردومون قشنگ کنم اما خب نخواستی حالا از دور نگاه کن,1,0
دیروز کار باغ بعد ۲ ماه تموم شد ۲ ماهی که انقد سخت گذشت بهم که یه خط جدید رو پیشونیم افتاده مونده رنگ امیزی درها و پنجره ها و درست کردن باربیکیو که اونا رو میخوام خودم انجام بدم با رنگ امیزی اعصابم اروم میشه و با اولین چای زغالی خستگیم در میره,1,1
کاش میتونستم چند ساعت همه چیز رو در این جهان متوقف کنم و فقط یه آغوش بشم برای یه نوزاد همین,0,0
قبلا موهام انقدی که ۲ طرف موهامو ببافم الان همون یه دونه بافتم چس قله است,1,0
بعد از شيش ساعت ايستادن الان كه ميخوام بشينم صداي تاق تاق كمرم خستگي بدر ميكنه,1,0
یک سخنگوی در دولت ترامپ کاخ سفید در آن زمان از پنتاگون خواسته بود گزارشهای صدمات مغزی ناشی از حمله موشکی ایران به پایگاه نظامیان آمریکایی در عراق را کوچک جلوه بدهد و اعلام آن را به تأخیر بیندازد پن پنهان کاری و فریب جهانیان تا کی,1,0
اين عرزشيا واقعا فكر ميكنن با اين همه حق الناسي كه براي خودشون درست ميكنن ميرن بهشت,1,0
من یه درختم که عاشق تبر شده با اینکه میدونی زخمیش میکنی می خواد تورو بغل کنه,1,0
با حمایت سلبریتی ها از عملا حجت تمام شد این سلبریتی جماعت نه فکر صلح است نه به فکر مردم افغانستان آنها فقط به فکر منافعشان هستند وسلام,1,0
من نمیدونم چرا مردم تو زندگیمون عشقو انتخاب میکنن وقتی میدونن ممکنه آسیب ببینن,1,0
فضای افغانستان فضای قومیتی است هنوز مردم افغانستان درکی از ملت شدگی ندارند و افکار قومیتی در سر دارند حضور در چنین فضایی و بازیگری در چنین میدانی مخصوصا توسط ایران منجر به تغییر فاز درگیری ها به درگیری مذهبی میشود و درگیری های مذهبی تمام شدنی نیست نگاه کنید به جنگ های صد ساله,1,0
اگر ایرانی ها برای جلسات مشاوره روانشناس بیمه تأمین اجتماعی داشتند و هزینه ش جوری میشد که قشر متوسط بتونه از پسش بر بیاد اوضاع سلامت روانی مون خیلی بهتر بود الان هزینه های مشاوره به گونه ای هست که واقعا خیلی ها از پسش بر نمیان و تو حال بدشون هم میمونند,1,1
زرنگ فقط زین و هری تو هجده سالگی کراش زدنبا کراششون زندگی میکردنتازه کراششون عاشقشون شد و با هم ازدواجم کردن منم هجده سالمه و میرم ادامه تستای امروزمو بزنمتازه ایرانم زندگی میکنمسگ برینه تو این زندگی,1,1
جامعه ای که دغدغه ش کثافت کاریای دنیا جهانبخت و مهراد باشه حکومت آخوندی که هیچ حکومت طالبانم از سرش زیاده,1,0
امروز ۱۸ سنبله و مقاومت ادامه دارد شماری از جوانان برای خواستن حق و مانع شدن دشمن بر خاک افغانستان دوباره به خیابان ها ریختن مگر با لت و کوب طالبان روبه رو شد طالبان تلفن ها را گرفته و مانع نشر تصاویر و فیلم های خشونت شان بالای زنان شده است وشبکه های مخابراتی مسدود است,1,0
طرف مصریه اما ۱۰ ساله المان زندگی میکنه با دوس دخترش که المانیهمشکل داره چون این خانوم هر وخ دلش بخاد میره بیرون و هر موقه بخاد بر میگرده یا جد سادات نکنه اونورم هوین وضعه اما به نظرم این فرهنگه شرقیه که از توش بیرون نرفته,1,0
ادای براندازی دارن هی پشت سراین میگن پشت سراون میگن وقتی بهشون میگی میگن که باهاش رفیق هستن بابا این چه رفقاتی که خودش نیست پشت سرش حرف میزنی رفقات بخورتوسرت بروتودیراکتش بگو,1,0
من با تموم وجودم الان انزلی میخوام اسکله با نمنم بارون غروب موجشکن چایی توی بلوار دلم میخواد برم یکشنبه بازار توی کارخونه قند با خانمها درباره سبزیها حرف بزنم چند تا نشا بخرم باورم نمیشه سه ساله انزلی نرفتم,1,0
این عادل فردوسیپور انتقاد تمجید سرفه هیچ واکنشی به هیچ حادثه و واقعهای در فوتبال ایران ندارد چطور ممکن است یک ژورنالیست اینقدر بینظر باشد فقط باید در صدا و سیما به شما آنتن انحصاری با محتوای ویدیویی انحصاری تقدیم کنند تا اوج انتقادتان همه چیمون به همه چیمون میاد باشد,1,0
کاش همجنسگرا بودم با دوس پسرم الان داشتیم میرفتیم تو جوبی سطل آشغالی چیزی کون کونک بازی کنیم استریت بودن پر از زرق و برق و توقع های الکیه,1,0
هرچی میخوام یچیزی بنویسم خودمو یجوری با واژه خالی کنم نمیشه حرفای نزدم تبدیل به سرطان شده,1,1
وای کمک کنید دیوونه شدم صبح بیدار شدم چنتا کلیپ خیلی شاد و عاشقانه هندی دیدم بسیار جو گرفتم شنگول شدم فاجعه اونجا رخ داد که بعدش یه کلیپ عاشقانه ایرانی دیدم بعد یک راست رفتم دایرکت کراش بش گفتم دوسش دارم,1,0
مملکت در و پیکر داشت واسه حتی آگهی با حقوق یه تومن شورت اون کارفرما رو میکشیدن سرش,1,0
تاحالا دقت کردید هرچی به دست میاریم بیشتر از اون از دست میدیم یا درواقع دیگه نمیتونیم بدست بیاریم مثلا وقتی یکی پزشک میشه درواقع یعنی دیگه نمیتونه مهندس وکیل ریاضی دان فضانورد و غیره بشه یعنی وقتی چیزی میشیم درواقع بقیه چیزایی که میتونستیم بشیم و دیگه نمیشیم این ترسناکه,1,1
بدی بیش از حد دوست داشتن یک ادم اینه که وقتی حواسش بهت نیست حس میکنی کل دنیا ازت متنفره,1,0
دیشب بعد ساعت منع تردد بیرون بودم نه پیامک اخطار اومد نه جریمه خونهام هم توو طرحه اما تا الان کلا ۴۵ بار برام پیامک اخطار اومده در حالی که اون موقع ماشین توو پارکینگ بوده,1,0
تحمل کن وطن این درد درمان می شود روزی و قصر ظالمانت سخت ویران میشود روزی به سنگ ات می زنند هر طرف یک مشت نادانی خدایا قلب انسان مثل حیوان میشود گاهی,1,0
قیمت خونه تو سه سال اخیر بیشتر از چهار برابر شده با یه حساب سرانگشتی میشه فهمید با وام یه میلیاردی ده سال دیگه فقط میشه یه زیرپله رهن کرد,1,0
واقعا ترجیح میدم یه چیزیو برام نگن تا اینکه پی ام فوروارد شده خودشونو برام بفرستن میخوای بگی از اول تایپ کن یا نگو,1,0
این دختره اینجوریه که جواب دلخواهش رو نمیدم سین نمیزنه و چیزی نمیگه بلاکش که کردم حالیش میشه چجوری باید رفتار کنه,1,0
سایت epolice برای بروزرها ناامن تعریف شده یعنی شما باید خایهمالی کنی که اقا راهم بده اگه ترور شدم به خودم ربط داره,1,1
امروز دوتا شاگرد جدید داشتم و فهمیدم یکیشون دوربین رو جوری تنظیم کرده که خواهرش هم که بیرون کادر نشسته از کلاس استفاده کنهحالم گرفتهشد چون کافی بود به من بگن و من هزینهی اضافهای نمیگرفتم ولی اینجور زرنگ بازیهای مسخره خیلی رو اعصابمه خصوصا که هر دو بچه دارن یادش میگیرن,1,0
دور بودن از مادر چقدر سخته وطن 10 روز نشده هنوز ولی انگار 10 ساله,1,0
صدری سرپرست لنگ میگه چون استقلال میتونه مربی و بازیکن خارجی جذب کنه ما هم بااااید جذب کنیم کچل حروم لقمه واقعا یادش نمیاد پارسال همین موقع خودشون غیرقانونی و با فساد سلطانیفر و فدراسیونش بازیکن گرفتن بردن آسیا ولی ما با پنجره بسته و بدون بازیکنای جدید رفتیم آسیا بازی کردیم,1,0
قدیما سلبریتیامون باز یه حفظ ظاهری میکردند الان که حتی تلاشم نمیکنن خودشون رو طرفدار منافع ملی نشون بدن آخه احمد شاه مسعود,1,0
برای ما موجودات بی معنی که وسط یک دنیای بزرگ حتی یک نقطه هم نیستیم با این عمرهای کوتاهمون وسط تاریخی که خیلی بیشتر از اونچه قدمون برسه کش میاد و ما احتمالا خیلی زودتر از اونی که حتی تصورش رو کنیم فراموش میشیم هرچیزی واقعا بی اهمیته,1,0
این حد از اکلیلی و اکتیو بودن این دختر منو میترسونه تو بگو دو دیقه شل کنه من کار کنم حالا کار فدا سرم نمیزاره گاسیپم رو بکنم,1,0
این دفعه بیمارستان به هوش بیام اولین سوالی که بپرسم اینه دکتر رنگ باز کرد بدنم شدید حساسیت به دکلره داره اخه,1,0
۴ ساعت تا تحویل پروژه ایا موفق به نوشتن ۴۰ صفحه و درست کردن یک ویدئو میشم با ما باشید,1,0
چرا من اونقدر پولدار نیستم که پاشم برم روستاهای شمال و کویر لایف استایل اونا رو بلاگ کنم و از بازدید هاش تو شبکههای اجتماعی پول بیشتری به جیب بزنم,1,0
یکی دیگه از یکی دیگه دفاع کرده کودنا فحشش رو به من میدن خدا شفاتون بده جدی,1,1
خانواده ایرانی اینجوریه که یه چیزیو درکنکنه یا دوسش نداشته باشه اون کار بده و مشکل ایجاد میکنه بعدا برات,1,1
ما دخترا حق داریم قهر كنیم اما شما پسرا غلط میکنین اجازه بدید این قهر کردن طولانی شه,1,0
من اینطوریم که هر کاری که میگن انجام بده رو روی هم تلمبار میکنم یهو میخوام همرو انجام بدم و کونم پاره میشه,1,1
اگر طالبان امروز در راس کاره یه دلیلش وجود کفتارهایی مثل غنی هست که نمیدونم دقیقا کارکردش چی بود تووی اون مملکت,1,0
آقا جان برای مردم خوب سرزمینم دعاکن و با اومدنت شادی و آرامشو به این مملکت برگردون,1,0
برای ما فقط اظهارات یک امام جمعه در پایتخت و توابع بوی انقلابی گری میداد چرا عزلش کردید,1,0
بابا تو اتاق مشترک بدون هندزفیری سه ساعت با بچه ی فامیل ویدیو کال نکنید اونم وقتی من که پدوفوبم حضور دارم بعدم هی الکی می گم عزییزم راحت باش,1,1
شوهرخالم وقتی دید خیلی از رانندگیش ترسیدم گفت اگه تو هم میترسی مثل من چشاتو ببند یه سکته ریز زدم,1,1
دوباره از فردا شروع میشه سپاه چرا کردا رو میکشه حالا بیا ب یه مشت گوساله توضیح بده ک اصلا اینا بیشتر از اینکه بقیه رو اذیت کنن ب خود مردم کردستان آسیب رسوندن,1,1
با سهمیه میرن داروسازی میخونن بعد با سهمیه امتیازشون از فرد معمولی بیشتر دو سه سال زودتر داروخانه بدون نوبت تاسیس میکنن همینقد حروم زاده همینقد پست همینقد کثافت گوه تو این مملکت اشغال از ایران متنفرم بخاطر این همه حق خوری و ظلم گوه توش گوه توش,1,0
امروز برام اندازه غروب جمعه ای که سیزده ب در هم بوده و فردا باید برم مدرسه و تکالیف عیدمم ننوشتم دلگیره,1,0
فکر این که احتمالا یک نفر دیگه میتونه کلی امکانات رفاهی بهتری در اختیار معشوقه من قرار بده خیلی فکر آزار دهنده ایه,1,1
حالا که اینطوریه اصلا نه یارانه نقدی میخوایم نه شبه نقدی فقط حقوق مردم ایران رو با حقوق مردم کشورهای جهان اولی برابر کنید,1,0
امشب رفیقام سالن گرفتن از ده و نیم تا دو ولی من هنوز پام خوب نشده,1,0
بعد از گوش دادن سفرناک ساعت هاست دارم به این فکر میکنم نکنه این راهی که توشم اشتباهه نکنه اون چیزی نیست که من میخوام,1,1
من میدونم چه سخت بگیرم چه سخت نگیرم در هر صورت گوهه ولی متاسفانه مشکل اینه که نمیتونم سخت نگیرم,1,0
از اکانت های که بیکار منتظرن سونی و مایکروسافت یه گهی بخورن شروع کنن هیت دادن شدیدا متنفرم چه ایرانی چه خارجی,1,1
فرض کن 3 ماه درسا رو مجازی بخونی ولی امتحانشو حضوری بدی بدترین نوع تجاوزه که فقط صنعتی میتونه همچین کاری رو انجام بده,1,1
پدربزرگم فوت کرد ۱۳ سال از دیدنش محروم بودم الان هم از حضور سر مزارش از اینکه پدرم رو الان در آغوش بگیرم و بهش تسلیت بگم پدرم که عاشقانه پدرش رو دوست داشت و الان میخواستم در این غم بزرگ کنارش باشم,1,1
باشه فهمیدیم چقدر با دوستات خوبی و براشون از شیش سال قبل کادو میخری لازم نیست هر روز توییت کنی چه جوری دوستاش از این سطح از منت گذاشتن اذیت نمیشن من اینو از راهنمایی میشناختم و تکون نخورده واقعا تازه فالو نمیکنم و یه تعدادی از توییت هاش رو فقط میبینم چون دوستاش,1,0
ببین به من ربطی نداره که میخوای موهای زیر بغلتو شیو کنی بری حموم یا از عطر و اسپری و دئودورانت استفاده کنی فقط توروخدا بوی سگ مرده نده,1,0
اوج ضربه زدن من به اونایی که بهم ضربه زدن ترک کردنشونه آیا این کافی هست,1,0
