text,user1,user2,user3,user4,user5
توی شهر کاملا ایزوله‌ام، کرونا نبود هم جایی نداشتم برم. با فرهنگ و زندگی مردم احساس بیگانگی می‌کنم، خیلی وقته دیگه ترندها رو هم دنبال نمی‌کنم. نه می‌دونم فلان سریال شبکه خانگی که می‌بینن چیه، نه فلان خواننده و مجری کیه. کاملا بیگانه. فکر نکنم تو این بیگانگی تنها باشم.,1,1,1,1,1
"حقیقتا خسته شدم از فعالیت برای مشکلات اجتماعی سیاسی مملکت
انقدر که افسرده و داغونم میکنه
دیگ نمیکشم و رها کردم
همون اصطلاح معروف
من تیر خوردم شما ادامه بدید",1,1,1,1,1
"بازار‌خراااابه آقا خراااااب
پاشیم جمع کنیم آخر‌هفته رو بریم یه وری کمپ کنیم  بشوره ببره این هفته رو",1,1,1,1,1
"درد میدونی چیه ؟
درد پسریه که میخواد برای عشقش تولد بگیره ، کادو بخره ، اما پولشو نداره 💔",1,1,1,1,1
"قلمت بشکند تاریخ…
اگر ننویسی که برای بهشت نادیده ات
زندگی را برای مردم جهنم کردند…

اگر ننویسی که به اسم دفاع از مستضعفان، زندگی های اشرافی برای خود و دوستانشان فراهم کردند…

ننگت باد تاریخ…
اگر ننویسی که برای کارگر حقوق ۳میلیون هزار تومانی و برای خودشان حقوقهای نجومی تصویب",1,1,1,1,1
"خدا رو شکر امنیت داریم!

بیشتر از یک لیتر شراب توی صندوق عقب ماشین داشتم، رفتم تعویض روغن و کارواش!
الان دیدم نیستش! 😢

شکایت هم نمیشه کرد! 😕 😭",1,1,1,1,1
دیشب به صفا به شوخی گفتم تو میخوای منو محدود کنی، تا همین لحظه ای که در خدمت شما هستم ناراحته:),1,1,1,1,1
یه طوری هوا ابری و سنگینه که دل گرفتگی رو به حد اعلا رسونده. کاش بارون بگیره باز و گرنه خودم می‌بارم,1,1,1,1,1
شلوغ ترین روزای عمرمه این مدت.. حجم خستگی و فشاری که رومه قابل توصیف نیست اما نکته جالب ماجرا اینجاست که خوشحال ترین آدم رو زمینم :) پر از حس و حال خووب,1,1,1,1,1
"اگه میتونستم بین درمان سرطان و میسوفونیا یکیو انتخاب کنم قطعا میسوفونیا رو انتخاب میکردم
گاییده شدم دیگه
هر کیم از اونور میاد یا با دهن باز آدامس میجوه یا میشینه جلوی من نخ دندون میکشه",1,1,1,1,1
"برای کفشی که
همیشه پایت را می زند
فرقی نمی کند
تو راهت را درست رفته باشی یا اشتباه
هر مسیری را با او
همقدم شوی
باز هم
دست آخر
به تاول های پایت می رسی
آدم ها هم به کفش ها بی شباهت نیستند
آدمی که همیشه آزارت می دهد
هیچ وقت نخواهد فهمید
تو چه دردی را تحمل کردی
تا با او همقدم باشی",1,1,1,1,1
تنها چیزی که فکر می‌کنم برای این استرس و حالت بی‌قرار این روزهام ممکنه درمان باشه، یه بغل طولانی و امنه 🫂🥲,1,1,1,1,1
"❤زنده را تا زنده است باید به فریادش رسید 

#نذر_نفس کنیم ، تا کشته های هرروز ، هر روز کاهشی شوند تا به امید خدا از شر این ویروس راحت شیم

🖤ور نه بر سنگ مزارش آب پاچیدن چه سود",1,1,1,1,1
فرمودید پرونده اعمال هر صبح و شام به شما عرضه می‌شه و سخت‌ترین عذاب، وقتیه که بیدار می‌شم از غفلت و یادم میاد شما شاهد تمام احوالمی.,1,1,1,1,1
"این اقائه که میاد تست بگیره،کل خانواده ی مارو معذب کرده.
هربار میاد خونه کثیفه هر کودوم هم با یه تیپ داغون نشستیم داریم یه کاری میکنیم.
قشنگ چهارتا آدم پرت تو حال هیچ کی هم تو اتاق نمیره:)",1,1,1,1,1
هیچ وقت بی اجازه از کارت پدرتون خرج نکنید 2 هفته پیش چهارصدتومن از کارتش برداشتم هنوز دارم تاوان میدم,1,1,1,1,1
"موانعی که یک دختر تو زندگیش باهاشون مواجهه مثل یک انسان معمولی نیست
یک دختر از همه نظر محدود میشه!
خانوادش بهش میگن تو نمیتونی!
همسرش میگه تو نباید کار کنی و موفق شی!
جامعه اونو جنس دو خطاب میکنه و اولویت رو به مرد میده:)",1,1,1,1,1
"چنل قبلی منو حلما و لعیا به فاک رفت میخوایم چنل جدید بزنیم دنبال اسمیم 
همه مغزا قفل🥵",1,1,1,1,1
"ببین تو خیلی خوبی، خیلی جذابی
ولی واقعا گمشو از ذهنم بیرون بزار به کار و زندگیم برسم.",1,1,1,1,1
واقعا نمیفهمم چرا وقتی یکی از سختی‌های بعدِ مهاجرت یا حتی پشیمونی‌هاش میگه انقدر میریزین سرش؛ طبیعتاً مهاجرت قرار نیست یک شبه همه‌ی مشکلاتو حل کنه و کلی فشار و سختی داره. اینکه شما دلتون میخواد مهاجرت کنین ولی هنوز نتونستین که مقصرش اون بنده خدا نیست.,1,1,1,1,1
حال امروز مردم شبیه کتاب آدمها و خرچنگها نوشته خوزوئه دوکاسترو است تصویر وحشتناکیست از آدمها و گرسنگی طبیعیت وحشی و خدایی که انگار چشمش را به روی بدبختیهای این مردم بسته است.....,1,1,1,1,1
"هوارو ازت میگیرن
دستشونو فشار میدن رو گلوت 
میگن نفس بکش
بقیه ام میگن پس این چرا نفس نمی‌کشه
تو حتی صدات درنمیاد که بخوای توضیح بدی...",1,1,1,1,1
میگفتند تنها چیزی که همه دردها را دوا میکند عشق است، پیدا بود که هنوز مبتلا نشده بودند.,1,1,1,1,1
یعنی دقیقا امروز باید تمام امراض بدنم خودنمایی کنند. با ۱۱ تا درد مختلف دارم ادامه میدم‌.,1,1,1,1,1
"بس که جان در آتش غم سوختیم
در حرم رفتیم و محرم سوختیم
چون برآوردیم با عشقش دمی
دم فرو بستیم و همدم سوختیم",1,1,1,1,1
"آرامبخش ندارم با خودم و پنیک نکردن جزو نقاط قوتم نیست.
همین الان فکر میکنم علائمش میزنه بیرون.",1,1,1,1,1
بعد سه روز اولین روزیه که دستم درد نمی‌کنه و من دز دوم رو چی؟ نمی‌زنم😾,1,1,1,1,1
"حس میکنم دل و روده‌ی مشکلات و بدبختیامو ریختم بیرون و کاری براشون نمیکنم.
قبل تراپی نمیدونستم درد چیه، درمون چیه
حالا میدونم درد چیه ولی بازم درمون نه.",1,1,1,1,1
خیلی به شوهراشون رو میدن، دل میخواد کون خودشون و شوهراشون رو با هم پاره کنم.,1,1,1,0,1
"به جايى رسيده ام كه ديگر ضربه هاى اطرافيان خشمگينم نمیکند..
دیگر ناراحت نمیشوم 
فقط
بغضم را به آرامى قورت ميدهم و اشکهایم را با بالشتم قسمت ميكنم،
به جايى رسيده ام كه عشق را 
براى خود ""مرگ"" معنا ميكنم
من یقین پیدا کرده ام 
كه ديگر ادامه دادن 
به این روزهای بی هدف فايده اى ندارد.",1,1,1,1,1
"واي همين الان راننده اسنپ كه يه اقاي جووني هم هست زنگ زد خانمش گفت سلام من دارم ميام خونه ناهارت آماده باشه حوصله ندارم صبركنم(:
مرتيكه پدرسگ آدم با نوكرش هم اينجوري حرف نميزنه عنتر",1,1,1,1,1
خیلی بی‌تحمل‌تر و پرخاشگر‌تر شدم تا اطلاع ثانوی هر لحظه ممکنه پاچه بگیرم,1,1,1,1,1
واقعا برای سوال «چرا من رو به دنیا آوردین؟مگه من خواستم به دنیا بیام؟» بچه ها جوابی هست؟,1,1,1,1,1
و دلم عمیقا میخواد شمال بودم میرفتم یکم تو طبیعت تا حالم بهتر بشه! این تهرانیا چجوری این شهرو تحمل میکنن؟,1,1,1,1,1
"واسه پایان نامم استاد راهنما ندارم.
اونم پیدا بشه موضوع ندارم.
حوصله هم خیلی وقته ندارم.",1,1,1,1,1
امروز  خبرها را خواندم دوباره ب این نتیجه رسیدم تا مردم ایران مستقیم نابودی این نظام و دفاع مشروع را حق مسلم خود ندانند هر روز بدتر از روز دیگر هست کار این نظام از تحلیل و صحبتهای آکادمیک گذشته باید بزنی تا پیروز شوی تو که جلوی مجلس منتظری رئیسی کاری برات بکنه هنوز تو خوابی بفهم,1,1,1,1,1
دلم میخواد تنهای تنها توی خونه خودم زندگی کنم! من واقعا دیگه انرژی تحمل کردن یکی دیگه کنارمو ندارم! 🤦🏻‍♀️,1,1,1,1,1
"از سربازطالب امروز تا جماعت غلغله کن و چپیده درهم داخل بهشت زهرا و سپس مسجدرفاه
این پیاده نظام بربریت هستندکه مجال بروز و ظهور امثال خمینی ،ملاعمر، بوبکربغدادی و آخوندزاده در۱جامعه وبدنبالشان خلخالی ها وحقانیها و لاجوردیها وظواهری ها وسلطه خونبارشان برجامعه رامیدهند",1,1,1,1,1
چندوقت پیش قلبم از شدت خستگی و نا امیدی خواست وایسه، بهش گفتم ببین شاید این دنیارو دوست نداشته باشی ولی باید زندگی کنی، پرسید چرا؟ جوابی نداشتم، بدتر خودمم پنیک شدم.,1,1,1,1,1
"پیامی دارم برای هرهموطنی که هنوزهم تواین شرایط بیتفاوت مونده
چون غیراینجا تریبونی ندارم همینجامیگم بچشم یکیشون هم بخوره کافیه!
متن پیام:)
حقیرتر،پلیدتر،کثیفتروبیشرفترازجاعش ومقامات ومزدوران وماله کشاش
تو وامثال تویید
که انها یا ازاعتقاد یانفع چنانند
وشما ازسر سفلگی وبیشرفی چنین🖕",1,1,1,1,1
"متاسفانه همیشه بزرگان اخلاقیِ محافظه کار، به اسم اسلام و مصلحت، اسلامِ عدالتخواهانه را سر می برند.
اسلام و انقلاب و مردم کم از این ها ضربه نخورده اند و متنفذینِ رانت خوار کم از این ها سود نبرده اند.",1,1,1,1,1
پلن A  مهاجرته پلن B خودکشی،فعلا همین پلنارو داشته باشید چیز دیگه ای به ذهنم رسید حتما توییت میکنم.,1,0,1,1,1
"به چشام نگاه کرد و گفت : تو برای تحمل این دردا هنوز خیلی بچه ای. 
نگامو دوختم زمین و گفتم :ماهی زنجیری آب است و من زنجیری رنج...",1,0,1,1,1
"من اصلا اصلا حلالت نمیکنم که پول سرمو ندادی به من گفتی دادی
بخاطر اینکه من پولشو ناچار شدم بدم نه بخاطر اینکه دروغ گفتی",1,0,1,1,1
"حالِ‌ما درهجر مهدی‌ کمتر از یعقوب‌ نیست
او پسر گم‌ کرده‌ بود وما پدر گم‌ کرده‌ایم..💔
#اللهم_عجل_لوليكَ_الفرج",1,1,1,0,1
"ذات پلید #عرزشی ها در مسئله #افغانستان هویدا شد.
قلمت بشکند تاریخ اگر که ننویسی ..‌.",1,0,1,1,1
واقعا اگه ملت انقدر نادون شدن اکانتهای قدیمی توییتر رو می‌خرن، برم بفروشم بزنم به زخمای زندگی,1,1,1,0,1
"بر اساس امار بانک جهانی کشور ایران از نظر تولید داخلی در رتبه ۵۱ ام قرار گرفته است یعنی در رده کشورهای با سرانه بسیار پایین قرار گرفته است،  
پ ن ۴ دهه جنایت  مرگ بر این ولایت
#قیام_سراسری   #سرنگونی",1,0,1,1,1
"راننده اسنپ در ادامه خطاب به من افزود: خانومي ميخواي وصل شي به ضبط؟
مرتيكه ي جنده خانومي هفت جدته پدرسگ",1,0,1,1,1
"خبر خوب برا عاشقا:«پاییز داره میاد» 🍁🍂
خبر بد برا ما سینگلا:«پاییز داره میاد» 🙂",0,1,1,1,1
"۵۰۰ کالری صبونه خوردم
بعد کل کالری ای که تا شب اجازه دارم بخورم ۱۰۰۰ تا ۱۲۰۰ تاس:(",1,1,0,1,1
قطعا دفعه ي بعدي وجود نداره رعنا جون خوب از اين اگاه باش كه باز خر حرف نشي,1,1,0,1,1
یکی از مسخره بازیای تو چشم بودن اینه که یک فامیل چند صد نفره منتظرن ببینن به کی بله میدی!,1,0,1,1,1
"ما در دلتنگی دسـتی نداشتیم
و در فاصله‌ای که داشتیم هزار دست داشتیم
..
#محمود_درويش",1,1,0,1,1
مشکل اصلی ملت با ولی فقیه این نیست که دیکتاتوره مسئله اینه هر جا که به نفعش باشه نایب امامه و باید عین شرع رو انجام بده و هر جا به ضررش باشه سلطانه و مصلحت نیست براساس سیره و گفتار انبیا و اولیا به کمک مظلوم بشتابه البته که در این دوگانگی تنها  معدود چاکران بارگاه نفع میبرند,1,1,1,0,1
"نشست بررسی انتقال آب کارون به کرمان با تجمع ۸ تن از نماینده های خوزستان در 
محل جلسه برهم خورد😐
برخی از شخصیت های سیاسی؛ نظامی و مذهبی استان اصفهان در پیگیری پروژه های انتقال آب کارون نفوذ دارند.
واقعا اینا خوزستان یه گاو شیرده میبنن که حیات و معاش مردم خوزستان براشون مهم نیست",1,1,1,0,1
کاش حداقل نمیدونستیم جاهای دیگه اینقدر بارون اومده که قدم زدن و زیر بارون خیس شدن فقط برای ما هنوز قفله:/,0,1,1,1,1
"طرف گفت ""یور روم نامبِ؟"" من گفتم ""فون نامبرررر؟؟"" و شروع کردم شماره دادن.
خوبه طرف پسر نبود. چی؟ اینجا پسر بودن مهم نیست؟ خب پس خدا رو شکر طرف استریت بود.",1,1,0,1,1
"دخترا وقتی ازدواج می کنن یه دغدغه به دغدغه هاشون اضافه می شه
.
.
.
حالا شوهرم چی بپوشه؟؟؟",0,1,1,1,0
"من بعد تو و بدون تو نمیمیرم،
  فقط اگه اصرار داشتم بمونی برای این بود توی خوشیا کنارم باشی، ببینی چقدر میتونم همه چی رو برای هردومون قشنگ کنم، 
اما خب نخواستی...
حالا از دور نگاه کن!",1,1,0,1,1
"دیروز کار باغ بعد ۲ ماه تموم شد. 
۲ ماهی که انقد سخت گذشت بهم که یه خط جدید رو پیشونیم افتاده. 
مونده رنگ امیزی درها و پنجره ها و درست کردن باربیکیو. که اونا رو میخوام خودم انجام بدم . 
با رنگ امیزی اعصابم اروم میشه و با اولین چای زغالی خستگیم در میره...",1,1,0,1,1
کاش می‌تونستم چند ساعت همه چیز رو در این جهان متوقف کنم و فقط یه آغوش بشم برای یه نوزاد… همین.,0,1,1,1,0
قبلا موهام انقدی که ۲ طرف موهامو ببافم:( الان همون یه دونه بافتم چس قله است,1,1,0,1,1
بعد از شيش ساعت ايستادن الان كه ميخوام بشينم صداي تاق تاق كمرم خستگي بدر ميكنه😂😂,1,1,0,1,1
"یک سخنگوی #پنتاگون در دولت ترامپ:
 کاخ سفید در آن زمان از پنتاگون خواسته بود گزارش‌های صدمات مغزی ناشی از حمله موشکی ایران به پایگاه نظامیان آمریکایی در عراق(#عین_الأسد) را «کوچک جلوه بدهد و اعلام آن را به تأخیر بیندازد!!» 
پ.ن: پنهان کاری و فریب جهانیان تا کی؟!",1,1,1,0,1
اين عرزشيا واقعا فكر ميكنن ، با اين همه حق الناسي كه براي خودشون درست ميكنن ، ميرن بهشت ؟,1,1,1,0,1
"من یه درختم که عاشق تبر شده
با اینکه میدونی زخمیش میکنی
می خواد تورو بغل کنه🥲🤌🖤",1,1,0,1,1
"با حمایت سلبریتی ها از #احمد_مسعود عملا حجت تمام شد!
این سلبریتی جماعت نه فکر صلح است نه به فکر مردم افغانستان، آنها فقط به فکر منافعشان هستند وسلام!",1,1,1,0,1
من نمی‌دونم چرا مردم تو زندگیمون عشقو انتخاب میکنن وقتی می‌دونن ممکنه آسیب ببینن,1,1,0,1,1
فضای افغانستان فضای قومیتی است! هنوز مردم افغانستان درکی از ملت شدگی ندارند و افکار قومیتی در سر دارند حضور در چنین فضایی و بازیگری در چنین میدانی مخصوصا توسط ایران منجر به تغییر فاز درگیری ها به درگیری مذهبی میشود!! و درگیری های مذهبی تمام شدنی نیست نگاه کنید به جنگ های صد ساله!,1,1,0,1,1
"اگر ایرانی ها برای جلسات مشاوره روانشناس، بیمه تأمین اجتماعی داشتند و هزینه ش جوری میشد که قشر متوسط بتونه از پسش بر بیاد، اوضاع سلامت روانی مون خیلی بهتر بود!

الان هزینه های مشاوره به گونه ای هست که واقعا خیلی ها از پسش بر نمیان و تو حال بدشون هم میمونند.",1,1,0,0,1
"زرنگ فقط زین و هری-✨
تو هجده سالگی کراش زدن،با کراششون زندگی میکردن،تازه کراششون عاشقشون شد و با هم ازدواجم کردن-✨
منم هجده سالمه و میرم ادامه تستای امروزمو بزنم،تازه ایرانم زندگی میکنم،سگ برینه تو این زندگی-🙏🏻🌹",1,1,1,1,1
جامعه ای که دغدغه ش کثافت کاریای دنیا جهانبخت و مهراد باشه، حکومت آخوندی که هیچ حکومت طالبانم از سرش زیاده,1,1,1,1,1
امروز ۱۸ سنبله  و مقاومت ادامه دارد  شماری از جوانان برای خواستن حق و مانع شدن دشمن بر خاک افغانستان دوباره به خیابان ها ریختن مگر با لت و کوب طالبان روبه رو شد  طالبان تلفن ها را گرفته و مانع نشر تصاویر و فیلم های خشونت شان بالای زنان شده است و‌شبکه های مخابراتی مسدود است .,1,1,1,1,1
طرف مصریه اما ۱۰ ساله المان زندگی میکنه با دوس دخترش (که المانیه)مشکل داره چون این خانوم هر وخ دلش بخاد میره بیرون و هر موقه بخاد بر میگرده 😐یا جد سادات نکنه اونورم هوین وضعه؟ اما به نظرم این فرهنگه شرقیه که از توش بیرون نرفته 🤐,1,1,1,1,1
"ادای براندازی دارن هی پشت سراین میگن پشت سراون میگن وقتی بهشون میگی میگن 
که باهاش رفیق هستن بابا این چه رفقاتی که خودش نیست پشت سرش حرف میزنی رفقات بخورتوسرت بروتودیراکتش بگو",1,1,1,1,1
"من با تموم وجودم الان انزلی می‌خوام. اسکله با نم‌نم بارون، غروب موج‌شکن، چایی توی بلوار. دلم می‌خواد برم یک‌شنبه بازار توی کارخونه قند با خانم‌ها درباره سبزی‌ها حرف بزنم، چند تا نشا بخرم.
باورم نمیشه سه ساله انزلی نرفتم.",1,1,1,1,1
"این عادل فردوسی‌پور انتقاد، تمجید، سرفه، هیچ واکنشی به هیچ حادثه و واقعه‌ای در فوتبال ایران ندارد؟ چطور ممکن است یک ژورنالیست اینقدر بی‌نظر باشد؟ فقط باید در صدا و سیما به شما آنتن انحصاری با محتوای ویدیویی انحصاری تقدیم کنند تا اوج انتقادتان ""همه چی‌مون به همه چی‌مون میاد"" باشد؟",1,1,1,1,1
"کاش همجنسگرا بودم با دوس پسرم الان داشتیم میرفتیم تو جوبی سطل آشغالی چیزی کون کونک بازی کنیم :((
استریت بودن پر از زرق و برق و توقع های الکیه 💔",1,1,1,1,1
هرچی میخوام یچیزی بنویسم خودمو یجوری با واژه خالی کنم نمیشه ، حرفای نزدم تبدیل به سرطان شده,1,1,1,1,1
وای کمک کنید دیوونه شدم 😂 صبح بیدار شدم چنتا کلیپ خیلی شاد و عاشقانه هندی دیدم بسیار جو گرفتم شنگول شدم 😕 فاجعه اونجا رخ داد که بعدش یه کلیپ عاشقانه ایرانی دیدم بعد یک راست رفتم دایرکت کراش بش گفتم دوسش دارم 😐,1,1,1,1,1
مملکت در و پیکر داشت واسه حتی آگهی با حقوق یه تومن شورت اون کارفرما رو میکشیدن سرش.,1,1,1,0,1
"تاحالا دقت کردید هرچی به دست میاریم، بیشتر از اون از دست میدیم (یا درواقع دیگه نمیتونیم بدست بیاریم)
مثلا وقتی یکی پزشک میشه، درواقع یعنی دیگه نمیتونه مهندس، وکیل، ریاضی دان، فضانورد و غیره بشه
یعنی وقتی چیزی میشیم، درواقع بقیه چیزایی که میتونستیم بشیم و دیگه نمیشیم
این ترسناکه",1,1,1,0,1
"بدی بیش از حد دوست داشتن یک ادم اینه که:
وقتی حواسش بهت نیست،
حس می‌کنی کل دنیا ازت متنفره!",1,1,1,0,1
"دیشب بعد ساعت منع تردد بیرون بودم. نه پیامک اخطار اومد نه جریمه. (خونه‌ام هم توو طرحه)
 اما تا الان کلا ۴،۵ بار برام پیامک اخطار اومده، در حالی که اون موقع ماشین توو پارکینگ بوده‌. 
#دیوانه_خانه",1,1,1,0,1
"تحمل کن وطن این درد درمان می شود روزی
و قصر ظالمانت سخت ویران میشود روزی
به سنگ ات می زنند هر طرف یک مشت نادانی
خدایا قلب انسان مثل حیوان میشود گاهی",1,1,1,0,1
"قیمت خونه تو سه سال اخیر بیشتر از چهار برابر شده
با یه حسابِ سرانگشتی میشه فهمید با وام یه میلیاردی، ده سال دیگه فقط میشه یه زیرپله رهن کرد",1,1,1,1,1
واقعا ترجیح میدم یه چیزیو برام نگن تا اینکه پی ام فوروارد شده خودشونو برام بفرستن. میخوای بگی از اول تایپ کن یا نگو.,1,1,1,0,1
این دختره اینجوریه که جواب دلخواهش رو نمیدم سین نمیزنه و چیزی نمیگه، بلاکش که کردم حالیش میشه چجوری باید رفتار کنه🙂,1,1,1,0,1
سایت epolice برای بروزرها ناامن تعریف شده. یعنی شما باید خایه‌مالی کنی که اقا راهم بده، اگه ترور شدم به خودم ربط داره.,1,1,1,0,1
امروز دوتا شاگرد جدید داشتم و فهمیدم یکیشون دوربین رو جوری تنظیم کرده که خواهرش هم که بیرون کادر نشسته از کلاس، استفاده کنه.حالم گرفته‌شد چون کافی بود به من بگن و من هزینه‌ی اضافه‌ای نمی‌گرفتم ولی اینجور زرنگ بازی‌های مسخره خیلی رو اعصابمه. خصوصا که هر دو بچه دارن یادش می‌گیرن.,1,1,1,0,1
"دور بودن از مادر چقدر سخته (وطن)😓💔
10 روز نشده هنوز ولی انگار 10 ساله😪",1,1,1,0,1
"صدری سرپرست لنگ میگه چون استقلال میتونه مربی و بازیکن خارجی جذب کنه ما هم بااااید جذب کنیم!!
کچلِ حروم لقمه واقعا یادش نمیاد پارسال همین موقع خودشون غیرقانونی و با فساد سلطانیفر و فدراسیونش بازیکن گرفتن بردن آسیا ولی ما با پنجره بسته و بدون بازیکنای جدید رفتیم آسیا بازی کردیم!؟",1,1,1,0,1
"قدیما سلبریتیامون باز یه حفظ ظاهری می‌کردند
الان که  حتی تلاشم نمیکنن خودشون رو طرفدار منافع ملی نشون بدن!
آخه احمد شاه مسعود؟!
#پنجشیر",1,1,1,0,1
برای ما موجودات بی معنی [که وسط یک دنیای بزرگ حتی یک نقطه هم نیستیم، با این عمرهای کوتاهمون وسط تاریخی که خیلی بیشتر از اونچه قدمون برسه کش میاد و ما احتمالا خیلی زودتر از اونی که حتی تصورش رو کنیم فراموش میشیم] هرچیزی واقعا بی اهمیته.,1,1,1,0,1
"این حد از اکلیلی و اکتیو بودن این دختر، منو میترسونه.
تو بگو دو دیقه شل کنه من کار کنم حالا کار فدا سرم نمیزاره گاسیپم رو بکنم:/",1,1,1,0,1
"😭😭😭😭
این دفعه بیمارستان به هوش بیام اولین سوالی که بپرسم اینه : دکتر رنگ باز کرد؟
بدنم شدید حساسیت به دکلره داره اخه",1,1,1,0,1
۴ ساعت تا تحویل پروژه، ایا موفق به نوشتن ۴۰ صفحه + و درست کردن یک ویدئو میشم؟ با ما باشید 🥲🤌🏽,1,1,1,1,1
